label,formula,atoms_before,atoms_after,reduction_ratio,sg_number,sg_symbol,success
mp-1006611,Sb12 S9 N18 O36 F36,111,111,1.0,1,P1,True
mp-1008676,Ti1 S2,3,2,0.6666666666666666,191,P6/mmm,True
mp-1009491,Rb1 Te1,2,2,1.0,216,F-43m,True
mp-1011376,Ce1 Se2,3,2,0.6666666666666666,191,P6/mmm,True
mp-1018075,Fe2 Se2,4,2,0.5,129,P4/nmm,True
mp-10195,Lu2 S4,6,2,0.3333333333333333,227,Fd-3m,True
mp-1020739,P4 S4 N36,44,11,0.25,14,P21/c,True
mp-1023371,Sn4 S1 F6,11,11,1.0,1,P1,True
mp-1025333,Ag1 W1 S4 N1,7,4,0.5714285714285714,82,I-4,True
mp-1042086,Mo2 S4,6,2,0.3333333333333333,122,I-42d,True
mp-1042100,W2 S4,6,2,0.3333333333333333,122,I-42d,True
mp-1045028,W6 Se4 Cl2 O16,28,16,0.5714285714285714,6,Pm,True
mp-1048587,Ti6 Al2 Se4 Cl2 O16,30,30,1.0,1,P1,True
mp-1057437,Rb1 S1,2,2,1.0,225,Fm-3m,True
mp-1057486,Cs1 S1,2,2,1.0,221,Pm-3m,True
mp-1058119,K1 S1,2,2,1.0,225,Fm-3m,True
mp-1058171,Na1 S1,2,2,1.0,225,Fm-3m,True
mp-1061865,Te1 N2,3,2,0.6666666666666666,225,Fm-3m,True
mp-1062795,Co1 S1 I1,3,3,1.0,216,F-43m,True
mp-10629,Tb2 S4,6,2,0.3333333333333333,227,Fd-3m,True
mp-10633,Tm2 S4,6,2,0.3333333333333333,227,Fd-3m,True
mp-1063581,H3 S1,4,2,0.5,229,Im-3m,True
mp-1063678,H3 S1,4,2,0.5,160,R3m,True
mp-1063927,Ti1 S2 N1,4,4,1.0,160,R3m,True
mp-1063988,S4,4,1,0.25,229,Im-3m,True
mp-10643,Sm2 Se2,4,2,0.5,186,P63mc,True
mp-10645,Tb2 Se2,4,2,0.5,186,P63mc,True
mp-1066394,Al1 Cu1 Te2,4,3,0.75,225,Fm-3m,True
mp-1066497,Fe2 Se2,4,2,0.5,67,Cmme,True
mp-1067509,Al1 Cu1 S2,4,3,0.75,225,Fm-3m,True
mp-1067556,Al1 Cu1 Se2,4,3,0.75,225,Fm-3m,True
mp-1068462,La2 S2,4,2,0.5,25,Pmm2,True
mp-1071360,Fe2 Se2 N2,6,3,0.5,129,P4/nmm,True
mp-1072192,Ti2 S4,6,3,0.5,194,P63/mmc,True
mp-1072633,Li1 Ti1 Se2 O2,6,4,0.6666666666666666,164,P-3m1,True
mp-1077072,Gd2 S4,6,2,0.3333333333333333,227,Fd-3m,True
mp-1077164,Li1 Ti1 S2 O2,6,4,0.6666666666666666,12,C2/m,True
mp-1077525,U4 S2,6,3,0.5,2,P-1,True
mp-1077563,Co2 Te2 Mo2,6,3,0.5,59,Pmmn,True
mp-1077823,Te2 O4,6,3,0.5,63,Cmcm,True
mp-1077948,Te4 Pt3,7,4,0.5714285714285714,12,C2/m,True
mp-1078111,Cu1 Mo1 S4 N1,7,4,0.5714285714285714,82,I-4,True
mp-1078396,In2 Se4 N2,8,3,0.375,140,I4/mcm,True
mp-1078456,K4 Se4 N2,10,3,0.3,15,C2/c,True
mp-1078816,S4 N4,8,2,0.25,14,P21/c,True
mp-1078865,Sb1 S4 N3,8,3,0.375,229,Im-3m,True
mp-1079018,Ta2 S4 N2,8,4,0.5,186,P63mc,True
mp-1079529,Na1 Te1 O6,8,3,0.375,225,Fm-3m,True
mp-1079569,Te1 N2 O6,9,4,0.4444444444444444,12,C2/m,True
mp-1079732,Te1 Br6 N2,9,3,0.3333333333333333,225,Fm-3m,True
mp-1079970,Se1 Br6 O2,9,3,0.3333333333333333,225,Fm-3m,True
mp-1080096,Pt1 S6 N2,9,4,0.4444444444444444,65,Cmmm,True
mp-1080109,Cu4 S3 N1,8,4,0.5,123,P4/mmm,True
mp-1080248,Ce2 Se4,6,2,0.3333333333333333,72,Ibam,True
mp-1080249,Ce2 Se4,6,2,0.3333333333333333,227,Fd-3m,True
mp-1080250,Ce4 Se8,12,12,1.0,1,P1,True
mp-1080252,Ce2 Se4,6,2,0.3333333333333333,227,Fd-3m,True
mp-1080255,Ce4 Se8,12,12,1.0,1,P1,True
mp-1080256,Ce8 Se16,24,4,0.16666666666666666,121,I-42m,True
mp-1080257,Ce4 Se8,12,6,0.5,9,Cc,True
mp-1080260,Ce2 Se4,6,2,0.3333333333333333,122,I-42d,True
mp-1080261,Ce4 Se8,12,4,0.3333333333333333,15,C2/c,True
mp-1080262,Ce8 Se16,24,6,0.25,14,P21/c,True
mp-1080265,Ce3 Se6,9,2,0.2222222222222222,152,P3121,True
mp-1080266,Ce4 Se8,12,7,0.5833333333333334,5,C2,True
mp-1080267,Ce4 Se8,12,12,1.0,1,P1,True
mp-1080269,Ce4 Se8,12,4,0.3333333333333333,46,Ima2,True
mp-1080270,Ce4 Se8,12,6,0.5,5,C2,True
mp-1080272,Ce4 Se8,12,3,0.25,33,Pna21,True
mp-1080273,Ce4 Se8,12,3,0.25,70,Fddd,True
mp-1080275,Ce2 Se4,6,2,0.3333333333333333,72,Ibam,True
mp-1080277,Ce6 Se12,18,5,0.2777777777777778,15,C2/c,True
mp-1080278,Ce8 Se16,24,7,0.2916666666666667,15,C2/c,True
mp-1080288,Ce4 Se8,12,3,0.25,98,I4122,True
mp-1080291,Ce4 Se8,12,4,0.3333333333333333,20,C2221,True
mp-1080292,Ce4 Se8,12,10,0.8333333333333334,6,Pm,True
mp-1080294,Ce1 Se2,3,2,0.6666666666666666,47,Pmmm,True
mp-1080296,Ce3 Se6,9,2,0.2222222222222222,154,P3221,True
mp-1080298,Ce8 Se16,24,5,0.20833333333333334,70,Fddd,True
mp-1080304,Ce6 Se12,18,4,0.2222222222222222,166,R-3m,True
mp-1080308,Ce8 Se16,24,4,0.16666666666666666,118,P-4n2,True
mp-1080311,Ce4 Se8,12,3,0.25,82,I-4,True
mp-1080316,Ce6 Se12,18,4,0.2222222222222222,162,P-31m,True
mp-1080317,Ce4 Se8,12,12,1.0,1,P1,True
mp-1080319,Ce1 Se2,3,2,0.6666666666666666,5,C2,True
mp-1080326,Ce4 Se8,12,4,0.3333333333333333,15,C2/c,True
mp-1080329,Ce4 Se8,12,7,0.5833333333333334,5,C2,True
mp-1080332,Ce2 Se4,6,2,0.3333333333333333,122,I-42d,True
mp-1080338,Ce4 Se8,12,6,0.5,4,P21,True
mp-1080341,Ce8 Se16,24,4,0.16666666666666666,132,P42/mcm,True
mp-1080344,Ce8 Se16,24,4,0.16666666666666666,56,Pccn,True
mp-1080351,Ce3 Se6,9,2,0.2222222222222222,180,P6222,True
mp-1080352,Ce16 Se32,48,5,0.10416666666666667,141,I41/amd,True
mp-1080354,Ce8 Se16,24,5,0.20833333333333334,98,I4122,True
mp-1080355,Ce24 Se48,72,4,0.05555555555555555,225,Fm-3m,True
mp-1080356,Ce18 Se36,54,11,0.2037037037037037,69,Fmmm,True
mp-1080357,Ce8 Se16,24,5,0.20833333333333334,50,Pban,True
mp-1080358,Ce8 Se16,24,7,0.2916666666666667,15,C2/c,True
mp-1080359,Ce12 Se24,36,4,0.1111111111111111,199,I213,True
mp-1080360,Ce8 Se16,24,3,0.125,227,Fd-3m,True
mp-1080361,Ce24 Se48,72,14,0.19444444444444445,63,Cmcm,True
mp-1080362,Ce24 Se48,72,36,0.5,9,Cc,True
mp-1080363,Ce16 Se32,48,7,0.14583333333333334,55,Pbam,True
mp-1080364,Ce8 Se16,24,5,0.20833333333333334,48,Pnnn,True
mp-1080365,Ce24 Se48,72,19,0.2638888888888889,11,P21/m,True
mp-1080366,Ce8 Se16,24,5,0.20833333333333334,54,Pcca,True
mp-1080367,Ce12 Se24,36,11,0.3055555555555556,12,C2/m,True
mp-1080369,Ce12 Se24,36,2,0.05555555555555555,230,Ia-3d,True
mp-1080370,Ce16 Se32,48,12,0.25,18,P21212,True
mp-1080371,Ce28 Se56,84,25,0.2976190476190476,12,C2/m,True
mp-1080372,Ce16 Se32,48,5,0.10416666666666667,126,P4/nnc,True
mp-1080373,Ce12 Se24,36,4,0.1111111111111111,163,P-31c,True
mp-1080374,Ce24 Se48,72,14,0.19444444444444445,74,Imma,True
mp-1080375,Ce24 Se48,72,3,0.041666666666666664,223,Pm-3n,True
mp-1080544,Gd3 S3 I3,9,3,0.3333333333333333,187,P-6m2,True
mp-1080628,Ce28 Se56,84,25,0.2976190476190476,10,P2/m,True
mp-1080629,Ce18 Se36,54,12,0.2222222222222222,71,Immm,True
mp-1080631,Ce16 Se32,48,7,0.14583333333333334,87,I4/m,True
mp-1080632,Ce24 Se48,72,18,0.25,14,P21/c,True
mp-1080633,Ce16 Se32,48,13,0.2708333333333333,14,P21/c,True
mp-1080634,Ce16 Se32,48,6,0.125,141,I41/amd,True
mp-1080635,Ce12 Se24,36,5,0.1388888888888889,96,P43212,True
mp-1080636,Ce24 Se48,72,12,0.16666666666666666,148,R-3,True
mp-1080637,Ce32 Se64,96,10,0.10416666666666667,131,P42/mmc,True
mp-1080638,Ce24 Se48,72,5,0.06944444444444445,193,P63/mcm,True
mp-1080639,Ce16 Se32,48,15,0.3125,21,C222,True
mp-1080641,Ce18 Se36,54,12,0.2222222222222222,65,Cmmm,True
mp-1080642,Ce12 Se24,36,11,0.3055555555555556,36,Cmc21,True
mp-1080652,Se1 N2 Cl6,9,3,0.3333333333333333,225,Fm-3m,True
mp-1080805,Ag2 As1 S4 N1,8,4,0.5,121,I-42m,True
mp-1080852,Ce24 Se48,72,3,0.041666666666666664,205,Pa-3,True
mp-1080854,Ce18 Se36,54,15,0.2777777777777778,13,P2/c,True
mp-1080855,Ce16 Se32,48,14,0.2916666666666667,12,C2/m,True
mp-1080856,Ce16 Se32,48,4,0.08333333333333333,133,P42/nbc,True
mp-1080857,Ce16 Se32,48,24,0.5,2,P-1,True
mp-1080858,Ce12 Se24,36,4,0.1111111111111111,167,R-3c,True
mp-1080859,Ce16 Se32,48,4,0.08333333333333333,142,I41/acd,True
mp-1080860,Ce16 Se32,48,5,0.10416666666666667,140,I4/mcm,True
mp-1080863,Ce12 Se24,36,5,0.1388888888888889,166,R-3m,True
mp-1080864,Ce12 Se24,36,5,0.1388888888888889,177,P622,True
mp-1080865,Ce12 Se24,36,4,0.1111111111111111,195,P23,True
mp-1080866,Ce12 Se24,36,5,0.1388888888888889,162,P-31m,True
mp-1080867,Ce16 Se32,48,24,0.5,2,P-1,True
mp-1084851,Ce12 Se24,36,11,0.3055555555555556,36,Cmc21,True
mp-10869,S1,1,1,1.0,221,Pm-3m,True
mp-1087236,Ba2 As1 Se4 O3,10,7,0.7,8,Cm,True
mp-1087241,Ce12 Se24,36,12,0.3333333333333333,146,R3,True
mp-1087242,Ce16 Se32,48,5,0.10416666666666667,141,I41/amd,True
mp-1087550,Ce12 Se24,36,11,0.3055555555555556,12,C2/m,True
mp-1087552,Ce24 Se48,72,17,0.2361111111111111,59,Pmmn,True
mp-1087553,Ce12 Se24,36,10,0.2777777777777778,30,Pnc2,True
mp-1087554,Ce12 Se24,36,5,0.1388888888888889,166,R-3m,True
mp-1087555,Ce12 Se24,36,3,0.08333333333333333,211,I432,True
mp-1093705,K2 Hg1 Se1,4,3,0.75,71,Immm,True
mp-1093874,Cs2 Hg1 Se1,4,3,0.75,71,Immm,True
mp-1094038,Ta2 S6,8,3,0.375,41,Aea2,True
mp-1094073,S4,4,1,0.25,14,P21/c,True
mp-1094089,Ni1 S2,3,2,0.6666666666666666,139,I4/mmm,True
mp-1094151,Ce12 Se24,36,4,0.1111111111111111,194,P63/mmc,True
mp-1094152,Ce14 Se28,42,18,0.42857142857142855,12,C2/m,True
mp-1094153,Ce12 Se24,36,5,0.1388888888888889,163,P-31c,True
mp-1095455,Co1 C1 S1 N6 Cl2,11,7,0.6363636363636364,107,I4mm,True
mp-1095937,Rb2 Hg1 Se1,4,3,0.75,71,Immm,True
mp-1096184,Rb2 Hg1 Te1,4,3,0.75,71,Immm,True
mp-1096385,Na2 Hg1 Te1,4,3,0.75,71,Immm,True
mp-1096431,Ce16 Se32,48,24,0.5,2,P-1,True
mp-1096791,Ce32 Se64,96,25,0.2604166666666667,11,P21/m,True
mp-1096808,Ba2 Fe2 S2,6,3,0.5,129,P4/nmm,True
mp-1096982,H2 C2 S1,5,3,0.6,164,P-3m1,True
mp-1097108,K2 Hg1 Te1,4,3,0.75,71,Immm,True
mp-1097672,Cs2 Hg1 Te1,4,3,0.75,71,Immm,True
mp-1097767,H3 S1,4,3,0.75,8,Cm,True
mp-1098703,Ce4 Se8,12,5,0.4166666666666667,24,I212121,True
mp-1098704,Ce6 Se12,18,3,0.16666666666666666,167,R-3c,True
mp-1098705,Ce4 Se8,12,5,0.4166666666666667,13,P2/c,True
mp-1098707,Ce8 Se16,24,4,0.16666666666666666,120,I-4c2,True
mp-1099574,Ce16 Se32,48,24,0.5,2,P-1,True
mp-1099575,Ce32 Se64,96,17,0.17708333333333334,74,Imma,True
mp-1100189,Ce34 Se68,102,7,0.06862745098039216,203,Fd-3,True
mp-1100266,Ce34 Se68,102,11,0.10784313725490197,191,P6/mmm,True
mp-1100389,Ca2 Sn2 S6,10,6,0.6,5,C2,True
mp-1100419,Hf1 Te1 Ru1,3,3,1.0,216,F-43m,True
mp-1100439,Y1 Se1 Br1,3,3,1.0,216,F-43m,True
mp-1100777,V1 Te1 O3,5,3,0.6,221,Pm-3m,True
mp-1100877,Zn7 Ga22 Te40,69,69,1.0,160,R3m,True
mp-1100951,V1 Fe2 Se4,7,7,1.0,1,P1,True
mp-1100966,V8 Mo16 S32,56,56,1.0,1,P1,True
mp-1101023,Ti2 S2,4,2,0.5,59,Pmmn,True
mp-1101100,Ti3 S4,7,7,1.0,156,P3m1,True
mp-1101800,Mg1 S1 O9,11,5,0.45454545454545453,146,R3,True
mp-1101916,Na2 Fe2 S4 O4,12,4,0.3333333333333333,15,C2/c,True
mp-1101924,Ni1 S1 O9,11,5,0.45454545454545453,146,R3,True
mp-1102385,Cu4 C4 S4,12,3,0.25,84,P42/m,True
mp-1102535,Pt1 C4 S2 I2 O2,11,6,0.5454545454545454,2,P-1,True
mp-1102637,Mg1 Se1 O9,11,5,0.45454545454545453,146,R3,True
mp-1102751,Ni1 C2 S2 N6,11,5,0.45454545454545453,12,C2/m,True
mp-1102988,Cd2 S2 O8,12,6,0.5,12,C2/m,True
mp-1103074,Na4 S6 N2,12,6,0.5,12,C2/m,True
mp-1103188,Zr9 Te3,12,5,0.4166666666666667,166,R-3m,True
mp-1103291,Cu2 S2 N2 O6,12,4,0.3333333333333333,166,R-3m,True
mp-1103551,K4 Se8 N2,14,7,0.5,9,Cc,True
mp-1103616,Cu1 C2 S2 N6,11,5,0.45454545454545453,12,C2/m,True
mp-1103918,Cu2 Se2 N1 O10,15,7,0.4666666666666667,12,C2/m,True
mp-1104405,Na2 S4 O8,14,7,0.5,5,C2,True
mp-1104484,Ni1 S2 O12,15,8,0.5333333333333333,2,P-1,True
mp-1104583,Pt1 S2 N4 O8,15,7,0.4666666666666667,12,C2/m,True
mp-1104712,Hg2 C2 S2 N4 Cl4,14,7,0.5,4,P21,True
mp-1104737,Mg1 Te1 Cl6 O6,14,4,0.2857142857142857,148,R-3,True
mp-1104819,Pb2 C2 S2 Br4 N4,14,7,0.5,4,P21,True
mp-1104828,Pb1 S2 N2 O8,13,5,0.38461538461538464,166,R-3m,True
mp-1105011,W2 S4 N4 O4,14,4,0.2857142857142857,15,C2/c,True
mp-1105049,Te2 Mo12,14,3,0.21428571428571427,64,Cmce,True
mp-1105115,P2 Se6 N4 O2,14,7,0.5,2,P-1,True
mp-1105447,Ba2 Se4 O12,18,9,0.5,2,P-1,True
mp-1105736,Be2 S2 O16,20,4,0.2,140,I4/mcm,True
mp-1105847,Zr2 S2 O14,18,6,0.3333333333333333,15,C2/c,True
mp-1105916,Fe2 S2 O14,18,7,0.3888888888888889,11,P21/m,True
mp-1106035,Ca2 S2 O12,16,5,0.3125,15,C2/c,True
mp-1106055,Rb4 Mo2 S2 O8,16,6,0.375,166,R-3m,True
mp-1106081,Na4 Se2 O10,16,5,0.3125,63,Cmcm,True
mp-1106113,Hf2 S2 O14,18,6,0.3333333333333333,15,C2/c,True
mp-1106319,Cd2 C2 S2 Br4 N6 O2,18,9,0.5,9,Cc,True
mp-1106362,Te1 C4 Se4 N8 Cl2,19,10,0.5263157894736842,2,P-1,True
mp-1106390,C4 S4 N8,16,6,0.375,26,Pmc21,True
mp-11335,Be1 Se1,2,2,1.0,225,Fm-3m,True
mp-1147573,Ga2 Co1 S2 O2,7,4,0.5714285714285714,139,I4/mmm,True
mp-1147584,Na1 Cu1 S1 I1,4,4,1.0,123,P4/mmm,True
mp-1147622,In2 S4,6,2,0.3333333333333333,227,Fd-3m,True
mp-1147643,C2 S2,4,2,0.5,129,P4/nmm,True
mp-1147654,Cd2 Cu1 S2 O2,7,4,0.5714285714285714,139,I4/mmm,True
mp-1147722,Ca2 Cu1 S1 O2,6,4,0.6666666666666666,139,I4/mmm,True
mp-1147755,Ga2 Cu1 S2 O2,7,4,0.5714285714285714,139,I4/mmm,True
mp-1147770,In2 Co1 S2 O2,7,4,0.5714285714285714,139,I4/mmm,True
mp-1172860,Mn8 Te8,16,2,0.125,74,Imma,True
mp-1173117,Ta1 Re1 Se4,6,4,0.6666666666666666,187,P-6m2,True
mp-1173144,Ta4 Os2 Se12,18,7,0.3888888888888889,155,R32,True
mp-1173176,Te6 As12 O24,42,42,1.0,1,P1,True
mp-1173453,S18 N18,36,18,0.5,4,P21,True
mp-1173466,S18 N18,36,36,1.0,1,P1,True
mp-1173520,Nb2 H8 Se4,14,7,0.5,9,Cc,True
mp-1173549,Na1 Ni2 H3 S2 O10,18,15,0.8333333333333334,8,Cm,True
mp-1173599,Rb4 Se2 O8,14,7,0.5,9,Cc,True
mp-1173613,Nb4 Si2 Te8,14,8,0.5714285714285714,2,P-1,True
mp-1173629,Nb22 S24,46,12,0.2608695652173913,15,C2/c,True
mp-1173684,Na6 S6 O9,21,21,1.0,1,P1,True
mp-1173730,Na4 S2 O8,14,14,1.0,1,P1,True
mp-1173866,Na12 S12 O30,54,54,1.0,1,P1,True
mp-1178764,Zn1 C4 S4 N2 O12,23,12,0.5217391304347826,2,P-1,True
mp-1178812,Zn4 S4 O22,30,16,0.5333333333333333,2,P-1,True
mp-1178832,Y4 Ni4 S4 O28,40,40,1.0,1,P1,True
mp-1178936,Te1 O6,7,2,0.2857142857142857,225,Fm-3m,True
mp-1179087,Te2 C4 N8 O16,30,8,0.26666666666666666,15,C2/c,True
mp-1179088,Te2 O6,8,3,0.375,15,C2/c,True
mp-1179109,Te4 C24 I24 N8,60,4,0.06666666666666667,205,Pa-3,True
mp-1179159,Tl2 C8 S8 N2,20,10,0.5,2,P-1,True
mp-1179167,Te1 C4 Se4 N8 Cl2,19,10,0.5263157894736842,2,P-1,True
mp-1179193,Tl2 C8 S8 N2,20,10,0.5,2,P-1,True
mp-1179209,Te2 C4 S4 Br4 N8,22,22,1.0,1,P1,True
mp-1179210,Te2 C4 S4 I4 N8,22,22,1.0,1,P1,True
mp-1179214,Te1 C16 I4 N2,23,5,0.21739130434782608,139,I4/mmm,True
mp-1179238,Zn4 Fe4 S8 O64,80,21,0.2625,14,P21/c,True
mp-1179257,Sr2 P4 S4 O18,28,14,0.5,2,P-1,True
mp-1179287,Te2 I2 N2 O20,26,13,0.5,2,P-1,True
mp-1179291,Te4 P8 C24 N8 Cl8,52,13,0.25,14,P21/c,True
mp-1179294,Te2 C4 S4 N8 Cl4,22,6,0.2727272727272727,15,C2/c,True
mp-1179327,U4 S4 N4 O36,48,12,0.25,14,P21/c,True
mp-1179346,Te2 C8 S8 N16 F8,42,11,0.2619047619047619,15,C2/c,True
mp-1179369,Th4 S8 O64,76,19,0.25,14,P21/c,True
mp-1179389,Te2 C8 S8 N16 Cl4 O4,42,11,0.2619047619047619,14,P21/c,True
mp-1179413,Ta1 S2,3,2,0.6666666666666666,191,P6/mmm,True
mp-1179436,Sr4 Sb16 S28 O24,72,18,0.25,14,P21/c,True
mp-1179442,Sn4 C32 S24 N8,68,23,0.3382352941176471,12,C2/m,True
mp-1179444,Re4 C4 S4 N8 Cl12 O8,40,10,0.25,29,Pca21,True
